plot;Anadenanthera colubrina;Bauhinia acuruana;Bauhinia cheilantha;Byrsonima gardneriana;Chamaecrista zygophylloides;Cnidoscolus pubescens;Commiphora leptophloeos;Cordia leucomalloides;Crotalaria sp. 1;Croton heliotropiifolius ;Croton nepetifolius ;Croton tricolor;Gochnatia oligocephala;Guapira graciliflora;Handroanthus impetiginosus;Manihot carthaginensis;Medusantha martiusii;Parapiptadenia zehntneni ;Piptadenia stipulacea;Pityrocarpa moniliformis;Poincianella microphylla;Schinopsis brasiliensis;Senegalia bahiensis;Senegalia piauhiensis;Senna rizzinii;Senna sp.  2 ;Senna sp. 1;Senna trachypus;Senna velutina;Solanum rhytidoandrum;Syagrus coronata;Trischidium molle;Waltheria brachypetala
R04;0;0;0;1;0;3;0;0;0;148;30;13;0;0;0;1;0;0;3;14;0;0;0;1;0;1;3;0;0;0;1;0;0
R06;0;0;0;0;0;2;0;0;0;2;1;1;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0
R07;0;0;0;0;0;11;0;0;0;251;3;5;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;58;10;1;8;37;0
R10;0;0;0;0;0;3;0;0;0;41;6;4;0;0;0;0;0;0;4;0;0;0;3;0;0;0;0;0;0;0;1;0;0
R12;0;0;0;0;0;1;4;0;0;2;30;18;0;3;0;1;101;0;0;13;3;0;0;0;0;0;0;0;0;0;0;2;379
R17;0;0;0;62;0;0;0;0;0;25;28;6;0;5;0;0;0;0;17;2;0;0;6;0;0;0;0;0;1;0;0;5;1
R18;0;0;0;34;0;0;0;0;0;397;13;17;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;95;21;9;2;14;0
R20;0;6;0;6;1;12;0;0;0;189;28;19;0;0;0;1;0;0;20;2;0;0;0;0;0;0;0;0;0;1;3;2;0
R23;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;43;0;0;3;0;0;0;0;0;0;0;1;4;0
R35;0;0;0;0;0;0;0;1;0;60;21;16;21;9;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;2;10;0;0
R37;0;0;0;12;0;0;0;0;0;33;8;7;8;4;0;1;0;0;0;31;0;0;0;0;0;0;0;0;12;5;0;0;0
R40;0;0;0;0;0;8;0;0;0;1;2;0;0;1;0;3;0;0;0;113;0;0;0;0;0;2;0;0;0;0;0;0;0
R45;2;0;0;6;0;1;0;3;0;152;44;7;1;0;0;0;0;0;11;5;0;0;29;0;0;0;0;0;0;0;20;0;0
R50;0;0;0;0;0;5;2;0;0;23;2;0;0;0;0;3;0;0;4;2;2;0;13;3;0;0;0;0;0;0;20;3;0
R70;0;0;1;0;0;0;0;1;10;5;0;0;0;0;1;3;109;1;0;4;2;2;0;0;0;0;0;0;0;0;0;2;1114
